Id	  		    Attribute_1		    Attribute_2		   Scrap
160411030667	2.19540264705882	947.5311			Yes
160411030668	1.00991687254902	917.4124			No
160411030669	2.19746383333333	935.2867			Yes
160411030670	2.20000066341463	933.296				Yes
160411030671	2.19686614215686	955.692				Yes
160411030672	1.00539521078431	910.5584			No
160411030673	1.01395505392157	905.4492			No
160411030674	2.21642805853659	949.67				Yes
160411030675	2.20213776097561	946.6333			Yes
160411030676	2.21463489705882	954.9052			Yes
160411030677	1.03346777560976	916.6721			No
160411030678	1.03654162871287	915.3741			No
160411030679	2.19464950738916	945.3741			Yes
160411030680	2.19260347524752	935.0239			Yes
160411030681	2.1883819408867		944.4012			Yes
160411030682	2.20181069607843	937.8904			Yes
160411030683	1.05909834975369	918.7226			No
160411030684	2.18947717156863	921.3808			Yes
160411030685	2.19876920197044	921.3808			Yes
160411030667	2.19540264705882	947.5311			Yes
160411030676	2.21463489705882	954.9052			Yes
160411030677	1.03346777560976	916.6721			No
160411030678	1.03654162871287	915.3741			No
160411030679	2.19464950738916	945.3741			Yes
160411030680	2.19260347524752	935.0239			No
160411030681	2.1883819408867		944.4012			No
160411030682	2.20181069607843	937.8904			Yes
160411030683	1.05909834975369	918.7226			No
160411030685	2.49876920197044	901.3808			Yes
160411030667	2.81540264705882	907.5311			Yes
160411030677	1.93346777560976	986.6721			No
160411030678	1.27654162871287	995.3741			No
