Id	  		    Attribute_1		    Attribute_2		   Scrap
160411030768	2.19897094634146	892.374				Yes
160411030769	1.19585902439024	893.1199			No
160411030770	1.19072879310345	911.3201			No
160411030771	2.19208446039604	911.3201			Yes
160411030772	2.19256631034483	918.0089			Yes
160411030773	1.17869239108911	920.0879			No		
160411030774	2.17947625123153	934.2449			Yes
160411030775	2.16508411330049	938.0108			Yes
160411030776	1.16987295024876	938.0108			No
160411030776	1.19987295024876	808.0108			No
160411030776	1.45987295024876	788.0108			No
160411030776	2.45987295024876	988.0108			Yes
160411030776	2.45987295024876	900.0108			Yes
160411030776	2.75987295024876	928.0108			Yes
160411030776	2.95987295024876	920.0108			Yes
