Id	  		    Attribute_1		    Attribute_2		   Scrap
160411030768	2.19897094634146	892.374				Yes
160411030769	2.19585902439024	893.1199			No
160411030770	2.19072879310345	911.3201			No
160411030771	2.19208446039604	911.3201			Yes
160411030772	2.19256631034483	918.0089			Yes
160411030773	2.17869239108911	920.0879			No		
160411030774	2.17947625123153	934.2449			Yes
160411030775	2.16508411330049	938.0108			Yes
160411030776	2.16987295024876	938.0108			No
160411030776	2.19987295024876	808.0108			No
160411030776	2.45987295024876	788.0108			No
160411030776	2.19987295024876	818.0108			No
160411030776	2.45987295024876	728.0108			Yes
